Date,Price
28-Dec-18,69.9786
02-Jan-19,69.6089
03-Jan-19,70.3627
04-Jan-19,69.8653
07-Jan-19,69.4814
08-Jan-19,70.0221
09-Jan-19,70.4418
10-Jan-19,70.5135
11-Jan-19,70.4737
14-Jan-19,70.8244
15-Jan-19,71.0298
16-Jan-19,71.1847
17-Jan-19,71.3418
18-Jan-19,71.1418
22-Jan-19,71.3761
23-Jan-19,71.2039
24-Jan-19,71.282
25-Jan-19,71.1051
28-Jan-19,71.134
29-Jan-19,71.0942
30-Jan-19,71.2442
31-Jan-19,71.0333
01-Feb-19,71.1102
04-Feb-19,71.658
05-Feb-19,71.7459
06-Feb-19,71.5731
07-Feb-19,71.4688
08-Feb-19,71.2949
11-Feb-19,71.1621
12-Feb-19,70.9353
13-Feb-19,70.5547
14-Feb-19,70.9408
15-Feb-19,71.2515
19-Feb-19,
20-Feb-19,71.1773
21-Feb-19,71.154
22-Feb-19,71.2177
25-Feb-19,71.042
26-Feb-19,71.0952
27-Feb-19,71.1663
28-Feb-19,71.1953
01-Mar-19,70.9696
04-Mar-19,
05-Mar-19,70.7601
06-Mar-19,70.5798
07-Mar-19,70.0268
08-Mar-19,70.101
11-Mar-19,69.9308
12-Mar-19,69.595
13-Mar-19,69.6225
14-Mar-19,69.6657
15-Mar-19,69.2131
18-Mar-19,68.6088
19-Mar-19,68.5847
20-Mar-19,68.8604
21-Mar-19,
22-Mar-19,68.6607
25-Mar-19,68.9903
26-Mar-19,68.8469
27-Mar-19,68.903
28-Mar-19,69.0038
29-Mar-19,69.1713
01-Apr-19,
02-Apr-19,69.1198
03-Apr-19,68.4896
04-Apr-19,68.8446
05-Apr-19,69.1965
08-Apr-19,69.5142
09-Apr-19,69.5397
10-Apr-19,69.1482
11-Apr-19,68.9742
12-Apr-19,69.324
15-Apr-19,69.2293
16-Apr-19,69.577
17-Apr-19,
18-Apr-19,69.4189
19-Apr-19,
22-Apr-19,69.7423
23-Apr-19,69.7474
24-Apr-19,69.9045
25-Apr-19,69.9418
26-Apr-19,70.1445
29-Apr-19,
30-Apr-19,69.8368
01-May-19,
02-May-19,69.5419
03-May-19,69.2679
06-May-19,69.3558
07-May-19,69.3095
08-May-19,69.6009
09-May-19,69.8685
10-May-19,69.9212
13-May-19,70.2576
14-May-19,70.4208
15-May-19,70.2087
16-May-19,70.2469
17-May-19,70.1666
20-May-19,69.5466
21-May-19,69.7291
22-May-19,69.7655
23-May-19,69.6732
24-May-19,69.6096
28-May-19,69.6142
29-May-19,69.8805
30-May-19,69.7852
31-May-19,69.8058
03-Jun-19,69.4338
04-Jun-19,69.2918
05-Jun-19,
06-Jun-19,69.3205
07-Jun-19,69.3019
10-Jun-19,69.4598
11-Jun-19,69.4222
12-Jun-19,69.4048
13-Jun-19,69.3579
14-Jun-19,69.5646
17-Jun-19,69.8362
18-Jun-19,69.801
19-Jun-19,69.6677
20-Jun-19,69.5645
21-Jun-19,69.6343
24-Jun-19,69.4788
25-Jun-19,69.3398
26-Jun-19,69.3192
27-Jun-19,69.2216
28-Jun-19,68.918
01-Jul-19,68.9665
02-Jul-19,68.9924
03-Jul-19,68.8776
05-Jul-19,
08-Jul-19,68.6982
09-Jul-19,68.7301
10-Jul-19,68.5269
11-Jul-19,68.3665
12-Jul-19,68.5855
15-Jul-19,68.5836
16-Jul-19,68.5672
17-Jul-19,68.8051
18-Jul-19,68.8758
19-Jul-19,68.8249
22-Jul-19,69.0199
23-Jul-19,68.9922
24-Jul-19,69.0135
25-Jul-19,68.9904
26-Jul-19,69.0611
29-Jul-19,68.9023
30-Jul-19,68.75
31-Jul-19,68.8569
01-Aug-19,69.058
02-Aug-19,69.3981
05-Aug-19,70.3584
06-Aug-19,70.7226
07-Aug-19,70.9553
08-Aug-19,70.8497
09-Aug-19,70.5185
12-Aug-19,
13-Aug-19,71.2365
14-Aug-19,71.0968
15-Aug-19,
16-Aug-19,71.2872
19-Aug-19,71.3419
20-Aug-19,71.6483
21-Aug-19,71.5508
22-Aug-19,71.7033
23-Aug-19,71.7267
26-Aug-19,72.1814
27-Aug-19,71.8206
28-Aug-19,71.7041
29-Aug-19,71.9971
30-Aug-19,71.7586
03-Sep-19,72.1899
04-Sep-19,72.07
05-Sep-19,71.8611
06-Sep-19,71.7323
09-Sep-19,71.5886
10-Sep-19,
11-Sep-19,71.6637
12-Sep-19,71.3175
13-Sep-19,70.9387
16-Sep-19,71.5362
17-Sep-19,71.8196
18-Sep-19,71.3132
19-Sep-19,71.1382
20-Sep-19,70.937
23-Sep-19,70.9212
24-Sep-19,70.8477
25-Sep-19,71.0395
26-Sep-19,70.9021
27-Sep-19,70.8381
30-Sep-19,70.685
01-Oct-19,70.9109
02-Oct-19,
03-Oct-19,71.1163
04-Oct-19,70.8703
07-Oct-19,70.9763
08-Oct-19,
09-Oct-19,71.1121
10-Oct-19,71.0516
11-Oct-19,71.0272
15-Oct-19,71.3186
16-Oct-19,71.5051
17-Oct-19,71.4087
18-Oct-19,71.1988
21-Oct-19,
22-Oct-19,70.8731
23-Oct-19,70.9373
24-Oct-19,70.9338
25-Oct-19,70.9593
28-Oct-19,
29-Oct-19,70.9523
30-Oct-19,70.7303
31-Oct-19,70.9915
01-Nov-19,70.8095
04-Nov-19,70.6821
05-Nov-19,70.7283
06-Nov-19,70.8861
07-Nov-19,71.0079
08-Nov-19,71.2494
11-Nov-19,71.445
12-Nov-19,
13-Nov-19,71.7002
14-Nov-19,72.0501
15-Nov-19,71.7109
18-Nov-19,71.7131
19-Nov-19,71.8138
20-Nov-19,71.6756
21-Nov-19,71.7996
22-Nov-19,71.8514
25-Nov-19,71.6468
26-Nov-19,71.5909
27-Nov-19,71.3627
02-Dec-19,71.7217
03-Dec-19,71.6006
04-Dec-19,71.78
05-Dec-19,71.5476
06-Dec-19,71.3165
09-Dec-19,71.162
10-Dec-19,70.8962
11-Dec-19,70.8679
12-Dec-19,70.7494
13-Dec-19,70.7178
16-Dec-19,70.941
17-Dec-19,70.9687
18-Dec-19,71.0611
19-Dec-19,71.0813
20-Dec-19,71.1569
23-Dec-19,71.1699
26-Dec-19,71.2699
27-Dec-19,71.2214
30-Dec-19,71.3449
02-Jan-20,71.3429
03-Jan-20,71.6949
06-Jan-20,72.0919
07-Jan-20,71.7764
08-Jan-20,72.0178
09-Jan-20,71.4221
10-Jan-20,71.1136
13-Jan-20,70.8115
14-Jan-20,70.9242
15-Jan-20,70.8753
16-Jan-20,70.9065
17-Jan-20,71.0436
21-Jan-20,71.1825
22-Jan-20,71.2056
23-Jan-20,71.2437
24-Jan-20,
27-Jan-20,71.3948
28-Jan-20,71.3263
29-Jan-20,71.1875
30-Jan-20,71.4772
31-Jan-20,71.5096
03-Feb-20,71.5803
04-Feb-20,71.135
05-Feb-20,71.2664
06-Feb-20,71.2558
07-Feb-20,71.2476
10-Feb-20,71.3046
11-Feb-20,71.2291
12-Feb-20,71.258
13-Feb-20,71.4699
14-Feb-20,71.3865
18-Feb-20,71.4013
19-Feb-20,
20-Feb-20,71.5899
21-Feb-20,
24-Feb-20,71.8522
25-Feb-20,71.8598
26-Feb-20,71.7291
27-Feb-20,71.6124
28-Feb-20,72.1895
02-Mar-20,72.242
03-Mar-20,72.8733
04-Mar-20,73.5603
05-Mar-20,73.2824
06-Mar-20,73.6629
09-Mar-20,73.9538
10-Mar-20,
11-Mar-20,73.8128
12-Mar-20,74.1694
13-Mar-20,74.0694
16-Mar-20,74.2723
17-Mar-20,74.0309
18-Mar-20,74.1727
19-Mar-20,75.0583
20-Mar-20,
23-Mar-20,75.8814
24-Mar-20,76.1522
25-Mar-20,
26-Mar-20,75.2392
27-Mar-20,74.8434
30-Mar-20,75.3451
31-Mar-20,75.3859
01-Apr-20,75.3859
02-Apr-20,
03-Apr-20,75.8276
06-Apr-20,
07-Apr-20,75.8438
08-Apr-20,76.0867
09-Apr-20,76.4577
10-Apr-20,
13-Apr-20,76.3617
14-Apr-20,
15-Apr-20,76.2743
16-Apr-20,76.7408
17-Apr-20,76.5444
20-Apr-20,76.6335
21-Apr-20,76.6516
22-Apr-20,76.8084
23-Apr-20,76.0635
24-Apr-20,76.4173
27-Apr-20,76.1269
28-Apr-20,76.371
29-Apr-20,75.6961
30-Apr-20,75.115
01-May-20,
04-May-20,75.7902
05-May-20,75.5715
06-May-20,75.6911
07-May-20,
08-May-20,75.4411
11-May-20,75.6838
12-May-20,75.7944
13-May-20,75.3885
14-May-20,75.444
15-May-20,75.5634
18-May-20,75.9345
19-May-20,75.6638
20-May-20,75.6712
21-May-20,75.7785
22-May-20,75.7868
26-May-20,75.6404
27-May-20,75.6476
28-May-20,75.7501
29-May-20,75.6369
01-Jun-20,75.4792
02-Jun-20,75.5871
03-Jun-20,75.326
04-Jun-20,75.529
05-Jun-20,75.4665
08-Jun-20,75.6307
09-Jun-20,75.4931
10-Jun-20,75.4688
11-Jun-20,75.7907
12-Jun-20,75.973
15-Jun-20,76.1056
16-Jun-20,75.841
17-Jun-20,76.2032
18-Jun-20,76.1509
19-Jun-20,76.2144
22-Jun-20,
23-Jun-20,
24-Jun-20,75.7087
25-Jun-20,75.6349
26-Jun-20,75.4757
29-Jun-20,75.568
30-Jun-20,75.527
01-Jul-20,75.5813
02-Jul-20,75.4876
07-Jul-20,74.8609
08-Jul-20,75.027
09-Jul-20,75.0031
10-Jul-20,75.2865
13-Jul-20,75.1567
14-Jul-20,75.3935
15-Jul-20,75.3123
16-Jul-20,75.242
17-Jul-20,75.1015
20-Jul-20,74.9666
21-Jul-20,74.7678
22-Jul-20,74.6848
23-Jul-20,74.7548
24-Jul-20,74.8672
27-Jul-20,74.762
28-Jul-20,74.7458
29-Jul-20,74.7667
30-Jul-20,74.8412
31-Jul-20,74.7722
03-Aug-20,74.9789
04-Aug-20,75.0894
05-Aug-20,74.9086
06-Aug-20,74.8591
07-Aug-20,74.9556
10-Aug-20,74.878
11-Aug-20,74.8436
12-Aug-20,74.8286
13-Aug-20,74.8369
14-Aug-20,74.7721
17-Aug-20,74.8464
18-Aug-20,74.819
19-Aug-20,74.7608
20-Aug-20,75.0062
21-Aug-20,74.8755
24-Aug-20,74.8282
25-Aug-20,74.3952
26-Aug-20,74.3541
27-Aug-20,74.3263
28-Aug-20,73.3528
31-Aug-20,73.5951
01-Sep-20,72.8204
02-Sep-20,73.0126
